timestamp,container,cpu_pct,mem_usage_mb,mem_limit_mb,mem_pct,net_in_mb,net_out_mb
2026-03-22T16:49:25.902109Z,benchmarking-sidekiq-worker-3,0.00,0.00,0.00,0.00,0.00,0.00
2026-03-22T16:49:25.902109Z,benchmarking-sidekiq-worker-14,0.00,0.00,0.00,0.00,0.00,0.00
2026-03-22T16:49:25.902109Z,benchmarking-sidekiq-worker-12,0.00,0.00,0.00,0.00,0.00,0.00
2026-03-22T16:49:25.902109Z,benchmarking-sidekiq-worker-16,0.00,0.00,0.00,0.00,0.00,0.00
2026-03-22T16:49:25.902109Z,benchmarking-sidekiq-worker-5,0.00,0.00,0.00,0.00,0.00,0.00
2026-03-22T16:49:25.902109Z,benchmarking-sidekiq-worker-2,0.00,0.00,0.00,0.00,0.00,0.00
2026-03-22T16:49:25.902109Z,benchmarking-sidekiq-worker-11,0.00,0.00,0.00,0.00,0.00,0.00
2026-03-22T16:49:25.902109Z,benchmarking-sidekiq-worker-13,0.00,0.00,0.00,0.00,0.00,0.00
2026-03-22T16:49:25.902109Z,benchmarking-sidekiq-worker-9,0.00,0.00,0.00,0.00,0.00,0.00
2026-03-22T16:49:25.902109Z,benchmarking-sidekiq-worker-6,0.00,0.00,0.00,0.00,0.00,0.00
2026-03-22T16:49:25.902109Z,benchmarking-sidekiq-worker-1,0.00,0.00,0.00,0.00,0.00,0.00
2026-03-22T16:49:25.902109Z,benchmarking-sidekiq-worker-4,0.00,0.00,0.00,0.00,0.00,0.00
2026-03-22T16:49:25.902109Z,benchmarking-sidekiq-worker-15,0.00,0.00,0.00,0.00,0.00,0.00
2026-03-22T16:49:25.902109Z,benchmarking-sidekiq-worker-7,0.00,0.00,0.00,0.00,0.00,0.00
2026-03-22T16:49:25.902109Z,benchmarking-sidekiq-worker-8,0.00,0.00,0.00,0.00,0.00,0.00
2026-03-22T16:49:25.902109Z,benchmarking-sidekiq-worker-10,0.00,0.00,0.00,0.00,0.00,0.00
2026-03-22T16:49:25.902109Z,benchmarking-redis-1,0.06,10.20,7836.67,0.13,41.40,38.30
2026-03-22T16:49:25.902109Z,benchmarking-metrics-redis-1,0.09,10.66,7836.67,0.14,143.00,99.30
2026-03-22T16:49:25.902109Z,benchmarking-kafka-1,5.04,1106.94,7836.67,14.13,73.80,60.40
2026-03-22T16:49:25.902109Z,benchmarking-stub-server-1,0.01,13.89,7836.67,0.18,0.24,0.00
2026-03-22T16:49:28.924325Z,benchmarking-kafka-consumer-19,104.92,32.93,7836.67,0.42,3.29,2.57
2026-03-22T16:49:28.924325Z,benchmarking-redis-1,0.05,10.20,7836.67,0.13,41.40,38.30
2026-03-22T16:49:28.924325Z,benchmarking-metrics-redis-1,4.52,10.91,7836.67,0.14,145.00,99.70
2026-03-22T16:49:28.924325Z,benchmarking-kafka-1,21.61,1112.06,7836.67,14.19,77.10,63.40
2026-03-22T16:49:28.924325Z,benchmarking-stub-server-1,0.00,13.89,7836.67,0.18,0.24,0.00
2026-03-22T16:49:32.004247Z,benchmarking-orchestrator-run-85033e2cd6c5,0.06,32.86,7836.67,0.42,0.03,2.59
2026-03-22T16:49:32.004247Z,benchmarking-kafka-consumer-19,104.16,33.42,7836.67,0.43,4.67,7.89
2026-03-22T16:49:32.004247Z,benchmarking-redis-1,0.04,9.98,7836.67,0.13,41.40,38.30
2026-03-22T16:49:32.004247Z,benchmarking-metrics-redis-1,4.35,13.24,7836.67,0.17,149.00,100.00
2026-03-22T16:49:32.004247Z,benchmarking-kafka-1,35.93,1114.11,7836.67,14.22,77.90,63.80
2026-03-22T16:49:32.004247Z,benchmarking-stub-server-1,0.00,13.89,7836.67,0.18,0.24,0.00
2026-03-22T16:49:38.199521Z,benchmarking-orchestrator-run-fed4848aeaaa,0.34,32.31,7836.67,0.41,0.01,0.13
2026-03-22T16:49:38.199521Z,benchmarking-kafka-consumer-19,0.07,27.27,7836.67,0.35,0.01,0.00
2026-03-22T16:49:38.199521Z,benchmarking-redis-1,0.29,9.98,7836.67,0.13,41.40,38.30
2026-03-22T16:49:38.199521Z,benchmarking-metrics-redis-1,0.33,10.14,7836.67,0.13,150.00,104.00
2026-03-22T16:49:38.199521Z,benchmarking-kafka-1,1.99,1113.09,7836.67,14.21,78.60,64.10
2026-03-22T16:49:38.199521Z,benchmarking-stub-server-1,0.01,13.89,7836.67,0.18,0.24,0.00
2026-03-22T16:49:41.332870Z,benchmarking-orchestrator-run-fed4848aeaaa,0.28,32.30,7836.67,0.41,0.01,0.14
2026-03-22T16:49:41.332870Z,benchmarking-kafka-consumer-19,0.05,27.27,7836.67,0.35,0.01,0.00
