timestamp,container,cpu_pct,mem_usage_mb,mem_limit_mb,mem_pct,net_in_mb,net_out_mb
2026-02-11T16:34:45Z,benchmarking-kafka-1,1.33,338.9,7836.7,4.32,0.01,0.01
2026-02-11T16:34:45Z,benchmarking-redis-1,1.66,9.2,7836.7,0.12,0.00,0.00
2026-02-11T16:34:45Z,benchmarking-zookeeper-1,1.57,100.5,7836.7,1.28,0.01,0.01
2026-02-11T16:34:45Z,benchmarking-stub-server-1,3.72,73.3,7836.7,0.94,0.00,0.00
2026-02-11T16:34:45Z,pilot-intercom-1,0.00,1.8,7836.7,0.02,0.00,0.00
2026-02-11T16:34:45Z,pilot-memcached-1,0.04,17.0,7836.7,0.22,0.96,0.07
2026-02-11T16:34:45Z,pilot-mysql-1,0.14,459.1,7836.7,5.86,2.62,7.38
2026-02-11T16:34:45Z,pilot-dynamodb-1,0.48,261.6,7836.7,3.34,0.02,0.01
2026-02-11T16:34:45Z,pilot-redis-1,0.14,15.8,7836.7,0.20,0.01,0.00
2026-02-11T16:34:45Z,pilot-elasticsearch-1,1.18,859.8,7836.7,10.97,0.02,0.01
2026-02-11T16:34:45Z,pilot-s3.test-1,0.05,42.2,7836.7,0.54,0.01,0.00
2026-02-11T16:34:45Z,pilot-traefik-1,0.11,120.0,7836.7,1.53,0.24,0.25
2026-02-11T16:34:45Z,pilot-dnsmasq-1,0.00,13.4,7836.7,0.17,0.63,0.79
2026-02-11T16:34:49Z,benchmarking-kafka-consumer-1,0.04,23.9,7836.7,0.31,0.00,0.00
2026-02-11T16:34:49Z,benchmarking-kafka-1,2.52,353.8,7836.7,4.51,0.04,0.05
2026-02-11T16:34:49Z,benchmarking-redis-1,1.08,9.2,7836.7,0.12,0.00,0.00
2026-02-11T16:34:49Z,benchmarking-zookeeper-1,0.19,105.6,7836.7,1.35,0.05,0.04
2026-02-11T16:34:49Z,benchmarking-stub-server-1,0.03,73.3,7836.7,0.94,0.00,0.00
2026-02-11T16:34:49Z,pilot-intercom-1,0.00,1.8,7836.7,0.02,0.00,0.00
2026-02-11T16:34:49Z,pilot-memcached-1,0.03,17.0,7836.7,0.22,0.96,0.07
2026-02-11T16:34:49Z,pilot-mysql-1,0.15,459.1,7836.7,5.86,2.62,7.38
2026-02-11T16:34:49Z,pilot-dynamodb-1,0.52,261.6,7836.7,3.34,0.02,0.01
2026-02-11T16:34:49Z,pilot-redis-1,0.19,16.0,7836.7,0.20,0.01,0.00
2026-02-11T16:34:49Z,pilot-elasticsearch-1,0.99,859.8,7836.7,10.97,0.02,0.01
2026-02-11T16:34:49Z,pilot-s3.test-1,0.05,41.9,7836.7,0.53,0.01,0.00
2026-02-11T16:34:49Z,pilot-traefik-1,0.02,120.0,7836.7,1.53,0.24,0.25
2026-02-11T16:34:49Z,pilot-dnsmasq-1,0.00,13.4,7836.7,0.17,0.63,0.79
2026-02-11T16:34:52Z,benchmarking-kafka-consumer-1,0.04,23.9,7836.7,0.31,0.00,0.00
2026-02-11T16:34:52Z,benchmarking-kafka-1,69.68,428.8,7836.7,5.47,0.04,0.05
2026-02-11T16:34:52Z,benchmarking-redis-1,0.39,9.5,7836.7,0.12,0.00,0.00
2026-02-11T16:34:52Z,benchmarking-zookeeper-1,0.12,105.5,7836.7,1.35,0.05,0.04
2026-02-11T16:34:52Z,benchmarking-stub-server-1,0.03,73.8,7836.7,0.94,0.00,0.00
2026-02-11T16:34:52Z,pilot-intercom-1,0.00,1.8,7836.7,0.02,0.00,0.00
2026-02-11T16:34:52Z,pilot-memcached-1,0.02,17.0,7836.7,0.22,0.96,0.07
2026-02-11T16:34:52Z,pilot-mysql-1,0.07,459.1,7836.7,5.86,2.62,7.38
2026-02-11T16:34:52Z,pilot-dynamodb-1,0.40,261.6,7836.7,3.34,0.02,0.01
2026-02-11T16:34:52Z,pilot-redis-1,0.09,15.8,7836.7,0.20,0.01,0.00
2026-02-11T16:34:52Z,pilot-elasticsearch-1,0.44,859.8,7836.7,10.97,0.02,0.01
2026-02-11T16:34:52Z,pilot-s3.test-1,0.03,41.9,7836.7,0.53,0.01,0.00
2026-02-11T16:34:52Z,pilot-traefik-1,0.03,120.0,7836.7,1.53,0.24,0.25
2026-02-11T16:34:52Z,pilot-dnsmasq-1,0.00,13.4,7836.7,0.17,0.63,0.79
2026-02-11T16:34:56Z,benchmarking-orchestrator-run-78fbc879bb22,0.41,22.0,7836.7,0.28,0.01,0.11
2026-02-11T16:34:56Z,benchmarking-kafka-consumer-1,0.02,23.9,7836.7,0.31,0.00,0.00
2026-02-11T16:34:56Z,benchmarking-kafka-1,8.37,359.7,7836.7,4.59,0.16,0.06
2026-02-11T16:34:56Z,benchmarking-redis-1,0.76,9.3,7836.7,0.12,0.00,0.00
2026-02-11T16:34:56Z,benchmarking-zookeeper-1,0.16,108.7,7836.7,1.39,0.05,0.05
2026-02-11T16:34:56Z,benchmarking-stub-server-1,0.01,74.4,7836.7,0.95,0.00,0.00
2026-02-11T16:34:56Z,pilot-intercom-1,0.00,1.8,7836.7,0.02,0.00,0.00
2026-02-11T16:34:56Z,pilot-memcached-1,0.03,17.0,7836.7,0.22,0.96,0.07
2026-02-11T16:34:56Z,pilot-mysql-1,0.17,459.1,7836.7,5.86,2.62,7.38
2026-02-11T16:34:56Z,pilot-dynamodb-1,0.35,261.6,7836.7,3.34,0.02,0.01
2026-02-11T16:34:56Z,pilot-redis-1,0.15,15.8,7836.7,0.20,0.01,0.00
2026-02-11T16:34:56Z,pilot-elasticsearch-1,2.45,859.8,7836.7,10.97,0.02,0.01
2026-02-11T16:34:56Z,pilot-s3.test-1,0.05,41.9,7836.7,0.54,0.01,0.00
2026-02-11T16:34:56Z,pilot-traefik-1,0.00,120.1,7836.7,1.53,0.24,0.25
2026-02-11T16:34:56Z,pilot-dnsmasq-1,0.00,13.4,7836.7,0.17,0.63,0.79
2026-02-11T16:35:00Z,benchmarking-orchestrator-run-78fbc879bb22,16.76,25.2,7836.7,0.32,2.13,1.90
2026-02-11T16:35:00Z,benchmarking-kafka-consumer-1,25.31,26.4,7836.7,0.34,1.70,3.18
2026-02-11T16:35:00Z,benchmarking-kafka-1,2.34,364.4,7836.7,4.65,1.16,1.17
2026-02-11T16:35:00Z,benchmarking-redis-1,10.23,10.7,7836.7,0.14,3.96,2.71
2026-02-11T16:35:00Z,benchmarking-zookeeper-1,0.30,108.7,7836.7,1.39,0.05,0.05
2026-02-11T16:35:00Z,benchmarking-stub-server-1,0.01,74.4,7836.7,0.95,0.00,0.00
2026-02-11T16:35:00Z,pilot-intercom-1,0.00,1.8,7836.7,0.02,0.00,0.00
2026-02-11T16:35:00Z,pilot-memcached-1,0.02,17.0,7836.7,0.22,0.96,0.07
2026-02-11T16:35:00Z,pilot-mysql-1,0.06,459.1,7836.7,5.86,2.62,7.38
2026-02-11T16:35:00Z,pilot-dynamodb-1,0.19,261.6,7836.7,3.34,0.02,0.01
2026-02-11T16:35:00Z,pilot-redis-1,0.06,16.0,7836.7,0.20,0.01,0.00
2026-02-11T16:35:00Z,pilot-elasticsearch-1,0.33,859.8,7836.7,10.97,0.02,0.01
2026-02-11T16:35:00Z,pilot-s3.test-1,0.02,41.9,7836.7,0.54,0.01,0.00
2026-02-11T16:35:00Z,pilot-traefik-1,0.00,120.1,7836.7,1.53,0.24,0.25
2026-02-11T16:35:00Z,pilot-dnsmasq-1,0.00,13.4,7836.7,0.17,0.63,0.79
2026-02-11T16:35:03Z,benchmarking-orchestrator-run-78fbc879bb22,0.00,25.2,7836.7,0.32,2.13,1.90
2026-02-11T16:35:03Z,benchmarking-kafka-consumer-1,0.05,26.4,7836.7,0.34,1.70,3.18
2026-02-11T16:35:03Z,benchmarking-kafka-1,68.06,365.1,7836.7,4.66,1.17,1.17
2026-02-11T16:35:03Z,benchmarking-redis-1,0.57,10.7,7836.7,0.14,3.96,2.71
2026-02-11T16:35:03Z,benchmarking-zookeeper-1,0.19,106.0,7836.7,1.35,0.05,0.05
2026-02-11T16:35:03Z,benchmarking-stub-server-1,0.02,74.4,7836.7,0.95,0.00,0.00
2026-02-11T16:35:03Z,pilot-intercom-1,0.00,1.8,7836.7,0.02,0.00,0.00
2026-02-11T16:35:03Z,pilot-memcached-1,0.02,17.0,7836.7,0.22,0.96,0.07
2026-02-11T16:35:03Z,pilot-mysql-1,0.06,459.1,7836.7,5.86,2.62,7.38
2026-02-11T16:35:03Z,pilot-dynamodb-1,0.31,261.6,7836.7,3.34,0.02,0.01
2026-02-11T16:35:03Z,pilot-redis-1,0.10,15.8,7836.7,0.20,0.01,0.00
2026-02-11T16:35:03Z,pilot-elasticsearch-1,0.82,859.8,7836.7,10.97,0.02,0.01
2026-02-11T16:35:03Z,pilot-s3.test-1,0.03,41.9,7836.7,0.54,0.01,0.00
2026-02-11T16:35:03Z,pilot-traefik-1,0.03,120.1,7836.7,1.53,0.24,0.25
2026-02-11T16:35:03Z,pilot-dnsmasq-1,0.00,13.4,7836.7,0.17,0.63,0.79
2026-02-11T16:35:08Z,benchmarking-orchestrator-run-78fbc879bb22,0.48,25.8,7836.7,0.33,2.13,2.01
2026-02-11T16:35:08Z,benchmarking-kafka-consumer-1,18.11,26.4,7836.7,0.34,1.87,3.48
2026-02-11T16:35:08Z,benchmarking-kafka-1,13.22,372.2,7836.7,4.75,1.28,1.29
2026-02-11T16:35:08Z,benchmarking-redis-1,1.71,9.8,7836.7,0.12,4.26,2.76
2026-02-11T16:35:08Z,benchmarking-zookeeper-1,0.11,106.0,7836.7,1.35,0.05,0.05
2026-02-11T16:35:08Z,benchmarking-stub-server-1,0.00,74.4,7836.7,0.95,0.00,0.00
2026-02-11T16:35:08Z,pilot-intercom-1,0.00,1.8,7836.7,0.02,0.00,0.00
2026-02-11T16:35:08Z,pilot-memcached-1,0.04,17.0,7836.7,0.22,0.96,0.07
2026-02-11T16:35:08Z,pilot-mysql-1,0.13,459.1,7836.7,5.86,2.62,7.38
2026-02-11T16:35:08Z,pilot-dynamodb-1,0.43,261.6,7836.7,3.34,0.02,0.01
2026-02-11T16:35:08Z,pilot-redis-1,0.11,15.8,7836.7,0.20,0.01,0.00
2026-02-11T16:35:08Z,pilot-elasticsearch-1,0.45,859.8,7836.7,10.97,0.02,0.01
2026-02-11T16:35:08Z,pilot-s3.test-1,0.05,41.9,7836.7,0.54,0.01,0.00
2026-02-11T16:35:08Z,pilot-traefik-1,0.00,120.1,7836.7,1.53,0.24,0.25
2026-02-11T16:35:08Z,pilot-dnsmasq-1,0.01,13.4,7836.7,0.17,0.63,0.79
2026-02-11T16:35:11Z,benchmarking-orchestrator-run-78fbc879bb22,0.00,26.8,7836.7,0.34,4.25,3.80
2026-02-11T16:35:11Z,benchmarking-kafka-consumer-1,0.12,26.5,7836.7,0.34,3.40,6.36
2026-02-11T16:35:11Z,benchmarking-kafka-1,2.72,375.4,7836.7,4.79,2.29,2.30
2026-02-11T16:35:11Z,benchmarking-redis-1,0.90,10.7,7836.7,0.14,7.92,5.41
2026-02-11T16:35:11Z,benchmarking-zookeeper-1,0.64,106.1,7836.7,1.35,0.05,0.05
2026-02-11T16:35:11Z,benchmarking-stub-server-1,0.01,74.4,7836.7,0.95,0.00,0.00
2026-02-11T16:35:11Z,pilot-intercom-1,0.00,1.8,7836.7,0.02,0.00,0.00
2026-02-11T16:35:11Z,pilot-memcached-1,0.04,17.0,7836.7,0.22,0.96,0.07
2026-02-11T16:35:11Z,pilot-mysql-1,0.13,459.1,7836.7,5.86,2.62,7.38
2026-02-11T16:35:11Z,pilot-dynamodb-1,1.26,261.6,7836.7,3.34,0.02,0.01
2026-02-11T16:35:11Z,pilot-redis-1,0.12,15.8,7836.7,0.20,0.01,0.00
2026-02-11T16:35:11Z,pilot-elasticsearch-1,0.73,859.8,7836.7,10.97,0.02,0.01
2026-02-11T16:35:11Z,pilot-s3.test-1,0.05,42.0,7836.7,0.54,0.01,0.00
2026-02-11T16:35:11Z,pilot-traefik-1,0.62,120.2,7836.7,1.53,0.24,0.25
2026-02-11T16:35:11Z,pilot-dnsmasq-1,0.00,13.4,7836.7,0.17,0.63,0.79
2026-02-11T16:35:15Z,benchmarking-orchestrator-run-78fbc879bb22,0.31,27.0,7836.7,0.34,4.26,3.80
2026-02-11T16:35:15Z,benchmarking-kafka-consumer-1,0.11,26.5,7836.7,0.34,3.41,6.36
2026-02-11T16:35:15Z,benchmarking-kafka-1,70.35,376.3,7836.7,4.80,2.29,2.30
2026-02-11T16:35:15Z,benchmarking-redis-1,2.27,10.7,7836.7,0.14,7.92,5.41
2026-02-11T16:35:15Z,benchmarking-zookeeper-1,2.26,106.5,7836.7,1.36,0.05,0.05
2026-02-11T16:35:15Z,benchmarking-stub-server-1,0.03,74.4,7836.7,0.95,0.00,0.00
2026-02-11T16:35:15Z,pilot-intercom-1,0.00,1.8,7836.7,0.02,0.00,0.00
2026-02-11T16:35:15Z,pilot-memcached-1,0.04,17.0,7836.7,0.22,0.96,0.07
2026-02-11T16:35:15Z,pilot-mysql-1,1.69,459.1,7836.7,5.86,2.62,7.38
2026-02-11T16:35:15Z,pilot-dynamodb-1,0.49,261.6,7836.7,3.34,0.02,0.01
2026-02-11T16:35:15Z,pilot-redis-1,0.17,15.8,7836.7,0.20,0.01,0.00
2026-02-11T16:35:15Z,pilot-elasticsearch-1,3.10,859.9,7836.7,10.97,0.02,0.01
2026-02-11T16:35:15Z,pilot-s3.test-1,0.06,42.0,7836.7,0.54,0.01,0.00
2026-02-11T16:35:15Z,pilot-traefik-1,0.23,120.2,7836.7,1.53,0.24,0.25
2026-02-11T16:35:15Z,pilot-dnsmasq-1,0.00,13.4,7836.7,0.17,0.63,0.79
2026-02-11T16:35:19Z,benchmarking-orchestrator-run-78fbc879bb22,5.27,27.4,7836.7,0.35,4.46,4.99
2026-02-11T16:35:19Z,benchmarking-kafka-consumer-1,71.82,26.5,7836.7,0.34,4.82,7.99
2026-02-11T16:35:19Z,benchmarking-kafka-1,2.85,377.8,7836.7,4.82,3.41,3.42
2026-02-11T16:35:19Z,benchmarking-redis-1,5.97,10.4,7836.7,0.13,9.63,5.91
2026-02-11T16:35:19Z,benchmarking-zookeeper-1,0.05,106.1,7836.7,1.35,0.05,0.05
2026-02-11T16:35:19Z,benchmarking-stub-server-1,0.00,74.5,7836.7,0.95,0.00,0.00
2026-02-11T16:35:19Z,pilot-intercom-1,0.00,1.8,7836.7,0.02,0.00,0.00
2026-02-11T16:35:19Z,pilot-memcached-1,0.01,17.0,7836.7,0.22,0.96,0.07
2026-02-11T16:35:19Z,pilot-mysql-1,0.04,459.1,7836.7,5.86,2.62,7.38
2026-02-11T16:35:19Z,pilot-dynamodb-1,0.14,261.6,7836.7,3.34,0.02,0.01
2026-02-11T16:35:19Z,pilot-redis-1,0.05,15.8,7836.7,0.20,0.01,0.00
2026-02-11T16:35:19Z,pilot-elasticsearch-1,0.41,859.8,7836.7,10.97,0.02,0.01
2026-02-11T16:35:19Z,pilot-s3.test-1,0.02,42.0,7836.7,0.54,0.01,0.00
2026-02-11T16:35:19Z,pilot-traefik-1,0.00,120.2,7836.7,1.53,0.24,0.25
2026-02-11T16:35:19Z,pilot-dnsmasq-1,0.00,13.4,7836.7,0.17,0.63,0.79
2026-02-11T16:35:23Z,benchmarking-kafka-consumer-1,0.09,26.5,7836.7,0.34,5.11,9.53
2026-02-11T16:35:23Z,benchmarking-kafka-1,2.05,377.9,7836.7,4.82,3.41,3.42
2026-02-11T16:35:23Z,benchmarking-redis-1,0.66,11.4,7836.7,0.15,11.90,8.11
2026-02-11T16:35:23Z,benchmarking-zookeeper-1,0.28,106.3,7836.7,1.36,0.05,0.05
2026-02-11T16:35:23Z,benchmarking-stub-server-1,0.01,74.5,7836.7,0.95,0.00,0.00
2026-02-11T16:35:23Z,pilot-intercom-1,0.00,1.8,7836.7,0.02,0.00,0.00
